slug,asset,epoch,entered,unwinded,forced,entry_side,shares_yes,shares_no,avg_cost_yes,avg_cost_no,total_cost,locked_payout,pnl,max_gross_exposure,minutes_to_unwind
btc-updown-15m-1765523700,btc,1765523700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765524600,btc,1765524600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765525500,btc,1765525500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765526400,btc,1765526400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765527300,btc,1765527300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765528200,btc,1765528200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765529100,btc,1765529100,True,True,True,no,100,100,0.9859849999999999,0.015014999999999995,100.09999999999998,100.0,-0.0999999999999801,0.0,
btc-updown-15m-1765530000,btc,1765530000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765530900,btc,1765530900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765531800,btc,1765531800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765532700,btc,1765532700,True,True,True,no,400,400,0.9859849999999999,0.15014999999999998,454.45399999999995,400.0,-54.45399999999995,25.5,
btc-updown-15m-1765533600,btc,1765533600,True,True,True,no,100,100,0.875875,0.30029999999999996,117.61749999999998,100.0,-17.61749999999998,12.5,
btc-updown-15m-1765534500,btc,1765534500,True,True,False,yes,300,300,0.14347666666666667,0.7957949999999999,281.7815,300.0,18.218500000000006,61.49999999999999,
btc-updown-15m-1765535400,btc,1765535400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765536300,btc,1765536300,True,True,True,no,400,400,0.9759749999999998,0.11261249999999999,435.43499999999995,400.0,-35.434999999999945,33.0,
btc-updown-15m-1765537200,btc,1765537200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765538100,btc,1765538100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765539000,btc,1765539000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765539900,btc,1765539900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765540800,btc,1765540800,True,True,True,yes,100,100,0.005004999999999999,0.995995,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765541700,btc,1765541700,True,True,True,no,200,200,0.8258249999999998,0.26776749999999994,218.71849999999995,200.0,-18.71849999999995,53.0,
btc-updown-15m-1765542600,btc,1765542600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765543500,btc,1765543500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765544400,btc,1765544400,True,True,False,yes,100,100,0.31531499999999996,0.5805799999999999,89.58949999999999,100.0,10.410500000000013,42.0,
btc-updown-15m-1765545300,btc,1765545300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765546200,btc,1765546200,True,True,False,no,100,100,0.5855849999999999,0.24023999999999993,82.58249999999998,100.0,17.417500000000018,41.5,
btc-updown-15m-1765547100,btc,1765547100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765548000,btc,1765548000,True,True,False,yes,100,100,0.35034999999999994,0.605605,95.59549999999999,100.0,4.404500000000013,39.5,
btc-updown-15m-1765548900,btc,1765548900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765549800,btc,1765549800,True,True,False,yes,100,100,0.295295,0.20520499999999997,50.05,100.0,49.95,79.5,
btc-updown-15m-1765550700,btc,1765550700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765551600,btc,1765551600,True,True,True,yes,100,100,0.295295,0.7107099999999998,100.60049999999998,100.0,-0.6004999999999825,0.0,
btc-updown-15m-1765552500,btc,1765552500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765553400,btc,1765553400,True,True,True,yes,300,300,0.20520499999999997,0.775775,294.294,300.0,5.706000000000017,67.5,
btc-updown-15m-1765554300,btc,1765554300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765555200,btc,1765555200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765556100,btc,1765556100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765557000,btc,1765557000,True,True,True,yes,400,400,0.06631625,0.995995,424.92449999999997,400.0,-24.924499999999966,5.5,
btc-updown-15m-1765557900,btc,1765557900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765558800,btc,1765558800,True,True,True,no,100,100,0.9859849999999999,0.035035,102.10199999999999,100.0,-2.1019999999999897,1.5,
btc-updown-15m-1765559700,btc,1765559700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765560600,btc,1765560600,True,True,True,no,300,300,0.9959949999999997,0.19519499999999995,357.3569999999999,300.0,-57.356999999999914,31.0,
btc-updown-15m-1765561500,btc,1765561500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765562400,btc,1765562400,True,True,True,no,200,200,0.7457449999999999,0.295295,208.20799999999997,200.0,-8.20799999999997,55.00000000000001,
btc-updown-15m-1765563300,btc,1765563300,True,True,True,no,100,100,0.995995,0.015014999999999995,101.10099999999998,100.0,-1.1009999999999849,0.5,
btc-updown-15m-1765564200,btc,1765564200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765565100,btc,1765565100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765566000,btc,1765566000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765566900,btc,1765566900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765567800,btc,1765567800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765568700,btc,1765568700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765569600,btc,1765569600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765570500,btc,1765570500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765571400,btc,1765571400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765572300,btc,1765572300,True,True,True,no,100,100,0.8508499999999999,0.22021999999999997,107.107,100.0,-7.106999999999999,15.0,
btc-updown-15m-1765573200,btc,1765573200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765574100,btc,1765574100,True,True,True,yes,100,100,0.09509499999999999,0.9559549999999999,105.10499999999999,100.0,-5.10499999999999,4.5,
btc-updown-15m-1765575000,btc,1765575000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765575900,btc,1765575900,True,True,True,yes,300,300,0.23690333333333333,0.9209200000000001,347.347,300.0,-47.34699999999998,46.0,
btc-updown-15m-1765576800,btc,1765576800,True,True,False,no,100,100,0.665665,0.325325,99.09899999999999,100.0,0.9010000000000105,33.5,
btc-updown-15m-1765577700,btc,1765577700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765578600,btc,1765578600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765579500,btc,1765579500,True,True,False,yes,200,200,0.2527525,0.7357349999999999,197.6975,200.0,2.302500000000009,53.0,
btc-updown-15m-1765580400,btc,1765580400,True,True,True,no,100,100,0.8858849999999999,0.115115,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765581300,btc,1765581300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765582200,btc,1765582200,True,True,True,no,200,200,0.8708699999999999,0.29279249999999996,232.73249999999996,200.0,-32.73249999999996,36.0,
btc-updown-15m-1765583100,btc,1765583100,True,True,True,yes,100,100,0.31531499999999996,0.7057049999999999,102.10199999999999,100.0,-2.1019999999999897,29.5,
btc-updown-15m-1765584000,btc,1765584000,True,True,False,yes,100,100,0.26026,0.265265,52.552499999999995,100.0,47.447500000000005,73.5,
btc-updown-15m-1765584900,btc,1765584900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765585800,btc,1765585800,True,True,True,no,100,100,0.655655,0.34534499999999996,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765586700,btc,1765586700,True,True,True,yes,100,100,0.09509499999999999,0.905905,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765587600,btc,1765587600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765588500,btc,1765588500,True,True,True,no,100,100,0.785785,0.21521499999999996,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765589400,btc,1765589400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765590300,btc,1765590300,True,True,False,no,100,100,0.5955949999999999,0.33533499999999994,93.09299999999999,100.0,6.907000000000011,40.5,
btc-updown-15m-1765591200,btc,1765591200,True,True,False,no,200,200,0.8208199999999999,0.13513499999999998,191.19099999999997,200.0,8.809000000000026,18.0,
btc-updown-15m-1765592100,btc,1765592100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765593000,btc,1765593000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765593900,btc,1765593900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765594800,btc,1765594800,True,True,False,no,100,100,0.5755749999999998,0.34534499999999996,92.09199999999998,100.0,7.9080000000000155,42.5,
btc-updown-15m-1765595700,btc,1765595700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765596600,btc,1765596600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765597500,btc,1765597500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765598400,btc,1765598400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765599300,btc,1765599300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765600200,btc,1765600200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765601100,btc,1765601100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765602000,btc,1765602000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765602900,btc,1765602900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765603800,btc,1765603800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765604700,btc,1765604700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765605600,btc,1765605600,True,True,True,yes,100,100,0.185185,0.815815,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765606500,btc,1765606500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765607400,btc,1765607400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765608300,btc,1765608300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765609200,btc,1765609200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765610100,btc,1765610100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765611000,btc,1765611000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765611900,btc,1765611900,True,True,False,yes,100,100,0.30530499999999994,0.6706699999999999,97.59749999999998,100.0,2.4025000000000176,33.0,
btc-updown-15m-1765612800,btc,1765612800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765613700,btc,1765613700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765614600,btc,1765614600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765615500,btc,1765615500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765616400,btc,1765616400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765617300,btc,1765617300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765618200,btc,1765618200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765619100,btc,1765619100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765620000,btc,1765620000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765620900,btc,1765620900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765621800,btc,1765621800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765622700,btc,1765622700,True,True,False,yes,100,100,0.34534499999999996,0.6456449999999999,99.09899999999999,100.0,0.9010000000000105,35.5,
btc-updown-15m-1765623600,btc,1765623600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765624500,btc,1765624500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765625400,btc,1765625400,True,True,False,yes,100,100,0.30530499999999994,0.655655,96.09599999999999,100.0,3.9040000000000106,34.5,
btc-updown-15m-1765626300,btc,1765626300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765627200,btc,1765627200,True,True,False,no,100,100,0.56056,0.33533499999999994,89.58949999999999,100.0,10.410500000000013,44.0,
btc-updown-15m-1765628100,btc,1765628100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765629000,btc,1765629000,True,True,True,no,300,300,0.955955,0.16182833333333332,335.335,300.0,-35.33499999999998,39.0,
btc-updown-15m-1765629900,btc,1765629900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765630800,btc,1765630800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765631700,btc,1765631700,True,True,True,no,300,300,0.31531499999999996,0.1117783333333333,128.128,300.0,171.872,205.50000000000003,
btc-updown-15m-1765632600,btc,1765632600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765633500,btc,1765633500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765634400,btc,1765634400,True,True,True,yes,100,100,0.34534499999999996,0.655655,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765635300,btc,1765635300,True,True,True,yes,400,400,0.0675675,0.995995,425.42499999999995,400.0,-25.424999999999955,4.5,
btc-updown-15m-1765636200,btc,1765636200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765637100,btc,1765637100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765638000,btc,1765638000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765638900,btc,1765638900,True,True,True,yes,100,100,0.33533499999999994,0.665665,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765639800,btc,1765639800,True,True,False,no,100,100,0.5005,0.35034999999999994,85.085,100.0,14.915000000000006,50.0,
btc-updown-15m-1765640700,btc,1765640700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765641600,btc,1765641600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765642500,btc,1765642500,True,True,False,yes,100,100,0.25525499999999995,0.7157149999999999,97.09699999999998,100.0,2.90300000000002,28.499999999999996,
btc-updown-15m-1765643400,btc,1765643400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765644300,btc,1765644300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765645200,btc,1765645200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765646100,btc,1765646100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765647000,btc,1765647000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765647900,btc,1765647900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765648800,btc,1765648800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765649700,btc,1765649700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765650600,btc,1765650600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765651500,btc,1765651500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765652400,btc,1765652400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765653300,btc,1765653300,True,True,False,yes,100,100,0.295295,0.695695,99.09899999999999,100.0,0.9010000000000105,30.5,
btc-updown-15m-1765654200,btc,1765654200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765655100,btc,1765655100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765656000,btc,1765656000,True,True,True,yes,100,100,0.31031,0.695695,100.60049999999998,100.0,-0.6004999999999825,30.5,
btc-updown-15m-1765656900,btc,1765656900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765657800,btc,1765657800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765658700,btc,1765658700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765659600,btc,1765659600,True,True,True,yes,300,300,0.17517499999999997,0.9359349999999999,333.33299999999997,300.0,-33.33299999999997,45.0,
btc-updown-15m-1765660500,btc,1765660500,True,True,False,no,100,100,0.515515,0.34534499999999996,86.08599999999998,100.0,13.914000000000016,48.5,
btc-updown-15m-1765661400,btc,1765661400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765662300,btc,1765662300,True,True,False,yes,100,100,0.30530499999999994,0.635635,94.094,100.0,5.906000000000006,36.5,
btc-updown-15m-1765663200,btc,1765663200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765664100,btc,1765664100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765665000,btc,1765665000,True,True,True,no,300,300,0.9759749999999999,0.1284616666666666,331.33099999999996,300.0,-31.33099999999996,21.000000000000004,
btc-updown-15m-1765665900,btc,1765665900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765666800,btc,1765666800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765667700,btc,1765667700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765668600,btc,1765668600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765669500,btc,1765669500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765670400,btc,1765670400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765671300,btc,1765671300,True,True,True,no,100,100,0.07007,0.26026,33.033,100.0,66.967,93.0,
btc-updown-15m-1765672200,btc,1765672200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765673100,btc,1765673100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765674000,btc,1765674000,True,True,False,yes,100,100,0.34534499999999996,0.5755749999999998,92.09199999999998,100.0,7.9080000000000155,42.5,
btc-updown-15m-1765674900,btc,1765674900,True,True,False,no,200,200,0.6606599999999999,0.29279249999999996,190.6905,200.0,9.309500000000014,68.0,
btc-updown-15m-1765675800,btc,1765675800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765676700,btc,1765676700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
