slug,epoch,ts_utc,yes_price,no_price,sum_price,mispricing
btc-updown-15m-1766016900,1766016900,2025-12-17 23:15:10+00:00,0.495,,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:15:11+00:00,,0.505,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:16:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:17:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:18:25+00:00,0.495,,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:18:26+00:00,,0.505,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:19:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:20:11+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:21:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:22:10+00:00,0.495,,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:22:11+00:00,,0.505,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:23:09+00:00,0.495,,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:23:10+00:00,,0.505,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:24:22+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:25:11+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:26:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:27:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:28:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:29:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:30:16+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:31:25+00:00,0.495,,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:31:27+00:00,,0.505,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:32:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:33:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:34:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:35:15+00:00,0.495,,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:35:16+00:00,,0.505,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:36:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:37:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:38:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:39:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:40:11+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:41:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:42:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:43:10+00:00,0.495,,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:43:11+00:00,,0.505,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:44:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:45:11+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:46:21+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:47:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:48:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:49:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:50:12+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:51:24+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:52:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:53:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:54:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:55:10+00:00,0.495,,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:55:11+00:00,,0.505,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:56:10+00:00,0.495,0.505,1.0,0.0
btc-updown-15m-1766016900,1766016900,2025-12-17 23:57:26+00:00,0.495,,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:57:28+00:00,,0.505,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:58:10+00:00,0.495,,,
btc-updown-15m-1766016900,1766016900,2025-12-17 23:58:11+00:00,,0.505,,
